0   186 -1 -1 49 111 
1 A 64 -1 -1 44 1011 
2 B 13 -1 -1 32 100000 
3 C 22 -1 -1 36 00000 
4 D 32 -1 -1 38 10101 
5 E 103 -1 -1 47 010 
6 F 21 -1 -1 35 110011 
7 G 15 -1 -1 33 100010 
8 H 47 -1 -1 41 0010 
9 I 47 -1 -1 40 0001 
10 J 1 -1 -1 27 1100001000 
11 K 5 -1 -1 30 11000011 
12 L 32 -1 -1 38 10100 
13 M 20 -1 -1 35 110010 
14 N 57 -1 -1 42 0111 
15 O 63 -1 -1 43 1001 
16 P 15 -1 -1 32 100001 
17 Q 1 -1 -1 27 1100001001 
18 R 48 -1 -1 41 0011 
19 S 51 -1 -1 42 0110 
20 T 80 -1 -1 45 1101 
21 U 23 -1 -1 36 00001 
22 V 8 -1 -1 31 1100000 
23 W 18 -1 -1 34 110001 
24 X 1 -1 -1 28 1100001011 
25 Y 16 -1 -1 33 100011 
26 Z 1 -1 -1 28 1100001010 
27 * 2 10 17 29 1
28 * 2 26 24 29 1
29 * 4 27 28 30 1
30 * 9 29 11 31 1
31 * 17 22 30 34 1
32 * 28 2 16 37 1
33 * 31 7 25 37 1
34 * 35 31 23 39 1
35 * 41 13 6 39 1
36 * 45 3 21 40 1
37 * 59 32 33 43 1
38 * 64 12 4 44 1
39 * 76 34 35 45 1
40 * 92 36 9 46 1
41 * 95 8 18 46 1
42 * 108 19 14 47 1
43 * 122 37 15 48 1
44 * 128 38 1 48 1
45 * 156 39 20 49 1
46 * 187 40 41 50 1
47 * 211 5 42 50 1
48 * 250 43 44 51 1
49 * 342 45 0 51 1
50 * 398 46 47 52 1
51 * 592 48 49 52 1
52 * 990 50 51 -1 1
